date,latitude,longitude,depth,mag,id
20150603,43.8071,-105.2715,0,3.3,us20002lqu
20150603,35.7885,-96.9896,6.854,3,us20002lmn
20150603,35.7866,-96.9874,6.113,3.6,us20002lja
20150604,45.8807,-106.5548,0,3.1,us20002m4b
20150604,35.7864,-96.9885,6.06,3.4,us20002m32
20150604,35.4823333,-118.4238333,3.958,3.52,ci37393496
20150604,36.5145,-97.2556,6.23,3.2,us20002lze
20150604,36.8023,-98.5401,5,3.2,us20002lwi
20150605,37.2648,-97.9213,2.35,4.1,us20002mgp
20150605,37.2194,-97.9677,5.11,3.6,us20002mgn
20150605,37.2214,-97.9528,7.36,3.2,us20002mgd
20150605,36.1659,-96.9835,5.237,3.2,us20002mem
20150605,36.6636,-98.2951,4.632,3.3,us20002meg
20150605,36.3187,-97.5191,6.92,3,us20002mb9
20150605,35.8626667,-117.6903333,3.398,3.31,ci37393840
20150606,43.7989,-105.2527,0,3.4,us20002mkz
20150606,36.2515,-97.5339,6.668,3,us20002mkf
20150607,36.844,-97.7617,5,3.3,us20002mtp
20150607,43.784,-105.2081,0,3.2,us20002mtj
20150607,35.6767,-97.3974,5,3.5,us20002ms9
20150607,36.6661667,-121.2913333,5.415,3.15,nc72462401
20150607,44.4271,-114.0792,5,3.2,us20002mxd
20150607,36.944,-97.6353,6.509,3.1,us20002mqr
20150607,33.9168333,-118.297,11.366,3.2,ci37394832
20150608,36.2852,-97.5219,2.959,3.9,us20002n3y
20150608,43.9929,-105.2857,0,3.1,us10002k1w
20150608,36.3916,-98.6607,4.027,3.9,us20002mx0
20150608,37.232,-97.9583,5.66,3.4,us20002mv8
20150609,33.778,-115.7006667,9.949,3.83,ci37396400
20150609,43.8023,-105.2894,0,3.4,us20002nee
20150609,36.7434,-98.2235,4.753,3.3,us20002nca
20150609,36.286,-97.5312,6.171,3.7,us20002n57
20150610,36.288,-97.518,8,3.4,us20002nk3
20150611,36.2829,-97.5185,5.651,3.7,us20002pbp
20150611,36.286,-97.5236,5.555,3.5,us20002p7h
20150611,36.8722,-98.8326,2.518,3,us20002p79
20150611,36.2932,-97.5259,5.658,3.2,us20002ny8
20150611,36.6241,-97.667,5,3,us20002nzi
